Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
15 km,F,7,7y300d,1:22:35,4955,Elizabeth-Ann,Westrip ,USA,1/28/09,Turkey Trot 15K ,Tallahasse FL USA,11/24/16,,
15 km,F,8,8y181d,1:15:52,4552,Reagan,Jones ,USA,6/29/06,,Wool Market MS USA,12/27/14,,
15 km,F,9,9y180d,1:17:44,4664,Reagan,Jones ,USA,6/29/06,,Wool Market MS USA,12/26/15,,
15 km,F,10,10y275d,1:12:19,4339,Alexandra,Trigg ,USA,6/11/05,Gates River Run 15k ,Jacksonville FL USA,3/12/16,,
15 km,F,12,12y084d,1:05:00,3900,Madison,Denny ,USA,10/18/03,,San Francisco CA USA,1/10/16,,
15 km,F,13,13y036d,1:01:00,3660,Vickie,Cook ,USA,5/29/64,,Santa Barbara CA USA,7/4/77,,
15 km,F,14,14y345d,55:31,3331,Karlene,Herrell ,USA,7/6/65,,Omaha NE USA,6/15/80,,
15 km,F,15,15y135d,51:06,3066,Irvette,vanZyl ,RSA,7/5/87,,Nijmegen NED,11/17/02,,
15 km,F,16,16y341d,51:39,3099,Tausi,Juma Ngaa,TAN,6/1/83,,Breda NED,5/7/00,,
15 km,F,17,17y217d,49:14,2954,Winnie,Chepkemoi ,KEN,10/9/93,,Massamagrell ESP,5/14/11,,
15 km,F,18,18y049d,49:46,2986,Muliye,Dekebo Haylemariyam,ETH,3/13/98,,Le Puy-en-Velay FRA,5/1/16,,
15 km,F,19,19y308d,48:33,2913,Mekasha,Waganesh Amare,ETH,1/16/92,,Nijmegen NED,11/20/11,,
15 km,F,20,20y063d,49:06,2946,Mestawat,Tufa Demissie,ETH,9/14/83,,Nijmegen NED,11/16/03,,
15 km,F,21,21y107d,48:15,2895,Gladys,Cheshire Kiptagelai,KEN,12/10/94,,Cardiff WAL,3/26/16,,
15 km,F,22,22y181d,48:14,2894,Peres,Chepchirchir ,KEN,9/27/93,,Cardiff WAL,3/26/16,,
15 km,F,23,23y066d,47:22,2842,Mestawat,Tufa Demissie,ETH,9/14/83,,Nijmegen NED,11/19/06,,
15 km,F,24,24y167d,46:28,2788,Tirunesh,Dibaba ,ETH,6/1/85,,Nijmegen NED,11/15/09,,
15 km,F,25,25y063d,46:57,2817,Mestawat,Tufa Demissie,ETH,9/14/83,,Nijmegen NED,11/16/08,,
15 km,F,26,26y290d,47:48,2868,Bizunesh,Bekele Sertsu,ETH,1/29/83,,Nijmegen NED,11/15/09,,
15 km,F,27,27y194d,47:02,2822,Lydia,Cheromei Kogo,KEN,5/11/77,,Nijmegen NED,11/21/04,,
15 km,F,28,28y271d,47:32,2852,Emily,Muge Chebet,KEN,2/18/86,,Nijmegen NED,11/16/14,,
15 km,F,29,29y122d,48:00,2880,Rose,Cheruiyot Kosgei,KEN,7/21/76,,Nijmegen NED,11/20/05,,
15 km,F,30,30y145d,46:59,2819,Priscilla,Cheptoo ,KEN,6/24/84,,Nijmegen NED,11/16/14,,
15 km,F,31,31y245d,47:17,2837,Ingrid,Kristiansen ,NOR,3/21/56,,Monte Carlo MON,11/21/87,,
15 km,F,32,32y250d,47:00,2820,Shalane,Flanagan ,USA,7/8/81,Gates River Run 15k ,Jacksonville FL USA,3/15/14,,
15 km,F,33,33y201d,47:37,2857,Lornah,Kiplagat ,NED,5/1/74,,Nijmegen NED,11/18/07,,
