Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
H Mar,F,5,5y327d,1:51:31,6691,Nasiya,Jobe ,USA,11/27/1978,,Hayward CA USA,10/20/1984,,
H Mar,F,6,6y351d,2:40:22,9622,Rosie,Dunham ,USA,11/23/2006,,Columbia SC USA,11/9/2013,,
H Mar,F,7,7y360d,1:41:00,6060,Makenzie,Kolvoord ,USA,11/21/2006,,Carderock MD USA,11/16/2014,,
H Mar,F,8,8y304d,1:35:25,5725,Tabitha,Francks ,USA,11/24/1974,,New York NY USA,9/24/1983,,
H Mar,F,9,9y296d,1:28:31,5311,Tabitha,Francks ,USA,11/24/1974,,Philadelphia PA USA,9/16/1984,,
H Mar,F,10,10y70d,1:25:52,5152,Stephanie,Paparelli ,USA,11/20/1972,,The Woodlands TX USA,1/29/1983,,
H Mar,F,11,11y205d,1:31:23,5483,Heather,Welsch ,USA,6/28/2002,,Houston TX USA,1/19/2014,,
H Mar,F,12,12y307d,1:21:45,4905,Mira,Preradovic ,BIH,6/20/1987,,Belgrade SER,4/22/2000,,
H Mar,F,13,13y306d,1:16:23,4583,Mira,Preradovic ,BIH,6/20/1987,,Belgrade SER,4/21/2001,,
H Mar,F,14,14y261d,1:15:14,4514,Miyuki,Oka ,JPN,3/8/1994,,Kobe JPN,11/24/2008,,
H Mar,F,15,15y334d,1:12:36,4356,Eyerusalem,Kuma Mutal,ETH,11/4/1981,,Kosice SVK,10/4/1997,,
H Mar,F,16,16y96d,1:12:31,4351,Zhu-ang,Liu ,CHN,1/18/1995,,Yangzhou CHN,4/24/2011,,
H Mar,F,17,17y292d,1:10:08,4208,Mame,Feyisa ,ETH,6/10/1996,,Copenhagen DEN,3/29/2014,,
H Mar,F,18,18y241d,1:08:21,4101,Valentine,Kipketer Chepkorir,KEN,1/5/1993,,Lille FRA,9/3/2011,,
H Mar,F,19,19y33d,1:07:57,4077,Abebu,Gelan Adugna,ETH,1/18/1990,RAK Half Marathon,Ras Al Khaimah UAE,2/20/2009,,
H Mar,F,20,20y122d,1:07:13,4033,Mare,Dibaba Hurssa,ETH,10/20/1989,RAK Half Marathon,Ras Al Khaimah UAE,2/19/2010,,
H Mar,F,21,21y294d,1:06:49,4009,Esther,Wanjiru Maina,KEN,3/27/1977,,Tokyo JPN,1/15/1999,,
H Mar,F,22,22y216d,1:05:36,3936,Fancy,Chemutai ,KEN,3/20/1995,,Valencia ESP,10/22/2017,,
H Mar,F,23,23y318d,1:04:51,3891,Joyciline,Jepkosgei ,KEN,12/8/1993,,Valencia ESP,10/22/2017,,
H Mar,F,24,24y244d,1:06:11,3971,Eunice,Chebichii Chumba,BRN,1/16/1993,,Copenhagen DEN,9/17/2017,,
H Mar,F,25,22y41d,1:05:51,3951,Brigid,Kosgei ,KEN,2/20/1994,,Prague CZE,4/2/2016,,
H Mar,F,26,26y1d,1:04:49,3889,Brigid,Kosgei ,KEN,2/20/1994,RAK Half Marathon,Ras Al Khaimah UAE,2/21/2020,,
