Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,Comments,,,,
Marathon,F,6,6y285d,4:27:32,16052,Mary,Etta Boitano,USA,3/4/1963,,Petaluma CA USA,12/14/1969,,,,,,
Marathon,F,7,7y284d,3:57:42,14262,Mary,Etta Boitano,USA,3/4/1963,,Petaluma CA USA,12/13/1970,,,,,,
Marathon,F,8,8y354d,3:13:24,11604,Tabitha,Francks ,USA,11/24/1974,,Asbury Park NJ USA,11/13/1983,,,,,,
Marathon,F,9,9y182d,3:11:1,11461,Julie,Mullin ,USA,8/30/1966,,Seaside OR USA,2/28/1976,,,,,,
Marathon,F,10,10y180d,2:58:1,10681,Julie,Mullin ,USA,8/30/1966,,Seaside OR USA,2/26/1977,,,,,,
Marathon,F,11,11y116d,2:49:21,10161,Carrie,Garritson ,USA,11/11/1976,Los Angeles Marathon,Los Angeles CA USA,3/6/1988,,old legal course,,,,
Marathon,F,12,12y161d,2:54:3,10443,Manuela,Zipse ,GER,5/11/1974,,Echternach LUX,10/19/1986,,,,,,
Marathon,F,13,13y304d,2:44:3,9843,Kyung-Hee,Lim ,KOR,5/15/1973,,Seoul KOR,3/15/1987,,,,,,
Marathon,F,14,14y105d,2:33:8,9188,Xin,Wei ,CHN,7/7/1988,,Beijing CHN,10/20/2002,,,,,,
Marathon,F,15,15y213d,2:29:41,8981,Mei-yu,Shen ,CHN,3/21/1987,,Beijing CHN,10/20/2002,,,,,,
Marathon,F,16,16y328d,2:31:51,9111,Li-nan,Wang ,CHN,11/26/1985,,Beijing CHN,10/20/2002,,,,,,
Marathon,F,17,17y320d,2:23:37,8617,Min,Liu ,CHN,11/29/1983,,Beijing CHN,10/14/2001,,,,,,
Marathon,F,18,18y1d,2:22:38,8558,Ying-ying,Zhang ,CHN,1/4/1990,,Xiamen CHN,1/5/2008,,,,,,
Marathon,F,19,19y2d,2:20:59,8459,Demise,Shure Ware,ETH,1/21/1996,Dubai Marathon,Dubai UAE,1/23/2015,,,,,,
Marathon,F,20,20y265d,2:19:17,8357,Roza,Dereje Bekele,ETH,5/6/1997,Dubai Marathon,Dubai UAE,1/26/2018,,,,,,
Marathon,F,21,21y357d,2:20:51,8451,Roza,Dereje Bekele,ETH,5/6/1997,London Marathon,London ENG,4/28/2019,,,,,,
Marathon,F,22,22y99d,2:19:52,8392,Mare,Dibaba Hurssa,ETH,10/20/1989,Dubai Marathon,Dubai UAE,1/27/2012,,,,,,
Marathon,F,23,23y273d,2:20:13,8413,Haftamnesh,Tesfaye Haylu,ETH,4/28/1994,Dubai Marathon,Dubai UAE,1/26/2018,,,,,,
Marathon,F,24,24y170d,2:17:8,8228,Ruth,Chepngetich ,KEN,8/8/1994,Dubai Marathon,Dubai UAE,1/25/2019,,,,,,
Marathon,F,25,25y235d,2:14:04,8044,Brigid,Kosgei ,KEN,2/20/1994,Chicago Marathon,"Chicago, IL",10/13/2019,,pending Open WR,,,,
Marathon,F,26,26y139d,2:20:43,8443,Tegla,Loroupe ,KEN,5/9/1973,Berlin Marathon,Berlin GER,9/25/1999,,,,,,
Marathon,F,27,27y84d,2:19:12,8352,Mizuki,Noguchi ,JPN,7/3/1978,Berlin Marathon,Berlin GER,9/25/2005,,,,,,
Marathon,F,28,28y300d,2:17:18,8238,Paula,Radcliffe ,ENG,12/17/1973,Chicago Marathon,Chicago IL USA,10/13/2002,,,,,,
Marathon,F,29,29y117d,2:15:25,8125,Paula,Radcliffe ,ENG,12/17/1973,London Marathon,London ENG,4/13/2003,,,,,,
Marathon,F,30,30y94d,2:18:37,8317,Mary,Keitany Chepkosgei,KEN,1/18/1982,London Marathon,London ENG,4/22/2012,,,,,,
Marathon,F,31,31y121d,2:17:42,8262,Paula,Radcliffe ,ENG,12/17/1973,London Marathon,London ENG,4/17/2005,,,,,,
Marathon,F,32,32y129d,2:18:31,8311,Tirunesh,Dibaba ,ETH,6/1/1985,Chicago Marathon,Chicago IL USA,10/8/2017,,,,,,
Marathon,F,33,33y107d,2:18:35,8315,Tirunesh,Dibaba ,ETH,6/1/1985,Berlin Marathon,Berlin GER,9/16/2018,,,,,,
Marathon,F,34,34y224d,2:18:31,8311,Vivian,Cheruiyot ,KEN,9/11/1983,London Marathon,London ENG,4/22/2018,,,,,,
Marathon,F,35,35y95d,2:17:1,8221,Mary,Keitany Chepkosgei,KEN,1/18/1982,London Marathon,London ENG,4/23/2017,,,,,,
Marathon,F,36,36y36d,2:19:19,8359,Irina,Mikitenko ,GER,8/23/1972,Berlin Marathon,Berlin GER,9/28/2008,,,,,,
Marathon,F,37,37y198d,2:21:29,8489,Lyudmila,Petrova ,RUS,10/7/1968,London Marathon,London ENG,4/23/2006,,,,,,
Marathon,F,38,38y306d,2:21:18,8478,Edna,Kiplagat Ngeringwony,KEN,11/15/1979,Berlin Marathon,Berlin GER,9/16/2018,,,,,,
Marathon,F,39,39y275d,2:22:12,8532,Nancy,Jepkosgei Kiprop,KEN,7/7/1979,,Vienna AUT,4/7/2019,,,,,,
Marathon,F,40,40y185d,2:23:31,8611,Lydia,Cheromei Kogo,KEN,5/11/1977,,Shanghai CHN,11/12/2017,,,,,,
Marathon,F,41,41y205d,2:22:11,8531,Lydia,Cheromei Kogo,KEN,5/11/1977,,Valencia ESP,12/2/2018,,,,,,
Marathon,F,42,42y70d,2:24:11,8651,Sinead,Diver ,AUS,2/17/1977,London Marathon,London ENG,4/28/2019,,,,,,
Marathon,F,43,43y221d,2:29:25,8965,Tatyana,Pozdniakova ,UKR,3/4/1955,Chicago Marathon,Chicago IL USA,10/11/1998,,,,,,
Marathon,F,44,44y195d,2:29:43,8983,Joyce,Smith ,ENG,10/26/1937,London Marathon,London ENG,5/9/1982,,,,,,
Marathon,F,45,45y141d,2:28:34,8914,Catherine,Bertone ,ITA,5/6/1972,Berlin Marathon,Berlin GER,9/24/2017,,,,,,
Marathon,F,46,46y364d,2:30:26,9026,Tatyana,Pozdniakova ,UKR,3/4/1955,Los Angeles Marathon,Los Angeles CA USA,3/3/2002,,old legal course,,,,
Marathon,F,47,47y223d,2:28:60,8940,Tatyana,Pozdniakova ,UKR,3/4/1955,,Providence RI USA,10/13/2002,,,,,,
Marathon,F,48,48y225d,2:37:46,9466,Ramilya,Burangulova ,RUS,7/11/1961,,Jacksonville Beach FL USA,2/21/2010,,,,,,
Marathon,F,49,49y3d,2:30:17,9017,Tatyana,Pozdniakova ,UKR,3/4/1955,Los Angeles Marathon,Los Angeles CA USA,3/7/2004,,old legal course,,,,
Marathon,F,50,50y2d,2:31:5,9065,Tatyana,Pozdniakova ,UKR,3/4/1955,Los Angeles Marathon,Los Angeles CA USA,3/6/2005,,old legal course,,,,
Marathon,F,51,51y15d,2:35:46,9346,Tatyana,Pozdniakova ,UKR,3/4/1955,Los Angeles Marathon,Los Angeles CA USA,3/19/2006,,old legal course,,,,
Marathon,F,52,52y108d,2:48:47,10127,Edeltraud,Pohl ,GER,7/14/1936,,Frankfurt GER,10/30/1988,,,,,,
Marathon,F,53,53y147d,2:47:50,10070,Joan,Samuelson ,USA,5/16/1957,Chicago Marathon,Chicago IL USA,10/10/2010,,,,,,
Marathon,F,54,54y13d,2:53:49,10429,Sally,Gibbs ,NZL,6/5/1963,,Wellington NZL,6/18/2017,,,,,,
Marathon,F,55,55y76d,2:52:14,10334,Rae,Baymiller ,USA,7/27/1943,Chicago Marathon,Chicago IL USA,10/11/1998,,,,,,
Marathon,F,56,56y24d,2:55:4,10504,Angharad,Mair ,WAL,3/30/1961,London Marathon,London ENG,4/23/2017,,,,,,
Marathon,F,57,57y112d,2:54:29,10469,Jung-Ok,Kim ,KOR,7/14/1956,,Seoul KOR,11/3/2013,,,,,,
Marathon,F,58,58y281d,2:58:37,10717,Christine,Kennedy ,USA,12/29/1954,Twin Cities Marathon,Saint Paul MN USA,10/6/2013,,,,,,
Marathon,F,59,59y280d,2:59:43,10783,Christine,Kennedy ,USA,12/29/1954,Twin Cities Marathon,Saint Paul MN USA,10/5/2014,,,,,,
Marathon,F,60,60y312d,3:1:30,10890,Bernardine,Portenski ,NZL,8/26/1949,Gold Coast Marathon,Gold Coast AUS,7/4/2010,,,,,,
